engine,benchmark,category,run,wall_ms,user_ms,sys_ms,peak_rss_kb
lua,alloc/binary_trees,alloc,1,580.00,630.00,10.00,21280
lua,alloc/binary_trees,alloc,2,580.00,640.00,0.00,21280
lua,alloc/binary_trees,alloc,3,540.00,610.00,0.00,21440
lua,alloc/binary_trees,alloc,4,530.00,590.00,0.00,21440
lua,alloc/binary_trees,alloc,5,580.00,640.00,0.00,21280
lua55,alloc/binary_trees,alloc,1,530.00,560.00,20.00,33600
lua55,alloc/binary_trees,alloc,2,540.00,590.00,0.00,33760
lua55,alloc/binary_trees,alloc,3,510.00,550.00,10.00,33600
lua55,alloc/binary_trees,alloc,4,540.00,590.00,0.00,33760
lua55,alloc/binary_trees,alloc,5,520.00,560.00,10.00,33600
luajit,alloc/binary_trees,alloc,1,310.00,330.00,10.00,29120
luajit,alloc/binary_trees,alloc,2,310.00,340.00,0.00,27200
luajit,alloc/binary_trees,alloc,3,310.00,320.00,20.00,29920
luajit,alloc/binary_trees,alloc,4,300.00,330.00,0.00,29120
luajit,alloc/binary_trees,alloc,5,300.00,320.00,10.00,30240
luau,alloc/binary_trees,alloc,1,330.00,360.00,0.00,34156
luau,alloc/binary_trees,alloc,2,340.00,370.00,0.00,34944
luau,alloc/binary_trees,alloc,3,350.00,370.00,20.00,35308
luau,alloc/binary_trees,alloc,4,330.00,350.00,10.00,31548
luau,alloc/binary_trees,alloc,5,350.00,370.00,20.00,36572
luau-codegen,alloc/binary_trees,alloc,1,280.00,290.00,20.00,35572
luau-codegen,alloc/binary_trees,alloc,2,290.00,300.00,10.00,35852
luau-codegen,alloc/binary_trees,alloc,3,310.00,340.00,0.00,34316
luau-codegen,alloc/binary_trees,alloc,4,300.00,320.00,10.00,36668
luau-codegen,alloc/binary_trees,alloc,5,290.00,320.00,0.00,32000
quickjs,alloc/binary_trees,alloc,1,680.00,530.00,230.00,19360
quickjs,alloc/binary_trees,alloc,2,760.00,510.00,320.00,19360
quickjs,alloc/binary_trees,alloc,3,710.00,560.00,220.00,19360
quickjs,alloc/binary_trees,alloc,4,670.00,480.00,270.00,19360
quickjs,alloc/binary_trees,alloc,5,730.00,500.00,290.00,19360
v8,alloc/binary_trees,alloc,1,70.00,70.00,10.00,48800
v8,alloc/binary_trees,alloc,2,70.00,80.00,10.00,48960
v8,alloc/binary_trees,alloc,3,80.00,70.00,20.00,49440
v8,alloc/binary_trees,alloc,4,80.00,80.00,20.00,48960
v8,alloc/binary_trees,alloc,5,70.00,60.00,20.00,48960
v8-nojit,alloc/binary_trees,alloc,1,330.00,340.00,10.00,40000
v8-nojit,alloc/binary_trees,alloc,2,330.00,320.00,20.00,40320
v8-nojit,alloc/binary_trees,alloc,3,330.00,330.00,10.00,40320
v8-nojit,alloc/binary_trees,alloc,4,320.00,320.00,20.00,40000
v8-nojit,alloc/binary_trees,alloc,5,320.00,320.00,20.00,40320
lua,alloc/gc_stress,alloc,1,1740.00,1780.00,80.00,370240
lua,alloc/gc_stress,alloc,2,1710.00,1800.00,60.00,370400
lua,alloc/gc_stress,alloc,3,1670.00,1700.00,110.00,370400
lua,alloc/gc_stress,alloc,4,1700.00,1760.00,90.00,370400
lua,alloc/gc_stress,alloc,5,1730.00,1790.00,90.00,370400
lua55,alloc/gc_stress,alloc,1,1510.00,1550.00,120.00,385280
